Food, Category, Country, Region, Year, Imports, Unit, Exports, Unit, Production, Unit, Consumption, Unit, Yield, Unit
barley,,Afghanistan,,2000,4,(1000 MT),0,(1000 MT),74,(1000 MT),5,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2001,3,(1000 MT),0,(1000 MT),87,(1000 MT),5,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2002,3,(1000 MT),0,(1000 MT),345,(1000 MT),30,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2003,0,(1000 MT),0,(1000 MT),240,(1000 MT),30,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2004,1,(1000 MT),0,(1000 MT),290,(1000 MT),30,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2005,0,(1000 MT),0,(1000 MT),337,(1000 MT),30,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2006,9,(1000 MT),0,(1000 MT),364,(1000 MT),30,(1000 MT),2,(MT/HA)
barley,,Afghanistan,,2007,0,(1000 MT),0,(1000 MT),370,(1000 MT),30,(1000 MT),2,(MT/HA)
barley,,Afghanistan,,2008,29,(1000 MT),0,(1000 MT),100,(1000 MT),10,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2009,16,(1000 MT),0,(1000 MT),333,(1000 MT),30,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2010,4,(1000 MT),0,(1000 MT),333,(1000 MT),30,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2011,29,(1000 MT),0,(1000 MT),300,(1000 MT),30,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2012,0,(1000 MT),0,(1000 MT),225,(1000 MT),25,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2013,0,(1000 MT),0,(1000 MT),400,(1000 MT),25,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2014,10,(1000 MT),0,(1000 MT),400,(1000 MT),25,(1000 MT),1,(MT/HA)
barley,,Afghanistan,,2015,0,(1000 MT),0,(1000 MT),400,(1000 MT),25,(1000 MT),1,(MT/HA)
barley,,Albania,,2000,0,(1000 MT),0,(1000 MT),2,(1000 MT),0,(1000 MT),2,(MT/HA)
barley,,Albania,,2001,0,(1000 MT),0,(1000 MT),3,(1000 MT),0,(1000 MT),3,(MT/HA)
barley,,Albania,,2002,0,(1000 MT),0,(1000 MT),4,(1000 MT),0,(1000 MT),4,(MT/HA)
barley,,Albania,,2003,0,(1000 MT),0,(1000 MT),3,(1000 MT),0,(1000 MT),2,(MT/HA)
barley,,Albania,,2004,0,(1000 MT),0,(1000 MT),4,(1000 MT),0,(1000 MT),2,(MT/HA)
barley,,Albania,,2005,0,(1000 MT),0,(1000 MT),4,(1000 MT),0,(1000 MT),2,(MT/HA)
barley,,Albania,,2006,0,(1000 MT),0,(1000 MT),6,(1000 MT),0,(1000 MT),3,(MT/HA)
barley,,Albania,,2007,0,(1000 MT),0,(1000 MT),4,(1000 MT),0,(1000 MT),4,(MT/HA)
barley,,Albania,,2008,0,(1000 MT),0,(1000 MT),4,(1000 MT),0,(1000 MT),4,(MT/HA)
barley,,Albania,,2009,2,(1000 MT),0,(1000 MT),5,(1000 MT),0,(1000 MT),3,(MT/HA)
barley,,Albania,,2010,2,(1000 MT),0,(1000 MT),7,(1000 MT),0,(1000 MT),2,(MT/HA)
barley,,Albania,,2011,2,(1000 MT),0,(1000 MT),9,(1000 MT),0,(1000 MT),3,(MT/HA)
barley,,Albania,,2012,1,(1000 MT),0,(1000 MT),7,(1000 MT),0,(1000 MT),2,(MT/HA)
barley,,Albania,,2013,1,(1000 MT),0,(1000 MT),7,(1000 MT),0,(1000 MT),2,(MT/HA)
barley,,Albania,,2014,2,(1000 MT),0,(1000 MT),7,(1000 MT),0,(1000 MT),2,(MT/HA)
barley,,Albania,,2015,0,(1000 MT),0,(1000 MT),7,(1000 MT),0,(1000 MT),2,(MT/HA)
barley,,Algeria,,2000,308,(1000 MT),0,(1000 MT),163,(1000 MT),425,(1000 MT),1,(MT/HA)
barley,,Algeria,,2001,379,(1000 MT),0,(1000 MT),574,(1000 MT),500,(1000 MT),1,(MT/HA)
barley,,Algeria,,2002,279,(1000 MT),0,(1000 MT),416,(1000 MT),600,(1000 MT),1,(MT/HA)
barley,,Algeria,,2003,0,(1000 MT),0,(1000 MT),1220,(1000 MT),700,(1000 MT),2,(MT/HA)
