"","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","Standard.Deviation"
"Afghanistan",35622,35815.5218959783,36010.0951288895,36205.7254102802,36402.4184827261,36600.18012,36776.8554601103,36954.3836423569,37132.7687835549,37312.015020392,37492.1265095244,37659.1955053155,37827.008978733,37995.5702472503,38164.8826431237,38334.9495134585,38490.7741783913,38647.2322425202,38804.3262804987,38962.058877446,39120.4326289893,39265.4294938462,39410.9637783943,39557.037474538,39703.6525815648,39850.8111061725,39985.8635934498,40121.3737671283,40257.3431782852,40393.7733832543,40530.6659436438,40655.7793828157,40781.2790325838,40907.1660851353,41033.4417363373,41160.1071857486,0.000514460040230105
"Albania",3246,3247.40106200481,3248.80272874613,3250.205000485,3251.60787748254,3253.01136,3253.46665412588,3253.92201197511,3254.37743355659,3254.83291887924,3255.288467952,3254.69578967666,3254.10321930805,3253.51075682652,3252.91840221244,3252.32615544616,3250.61362936208,3248.90200501584,3247.19128193264,3245.48145963791,3243.77253765734,3241.02365103112,3238.27709390785,3235.53286431342,3232.7909602754,3230.05137982305,3226.44505872664,3222.84276405283,3219.24449130616,3215.65023599616,3212.05999363743,3207.73133387775,3203.40850753817,3199.09150675741,3194.78032368478,3190.47495048019,0.00303441366846707
"Algeria",37474,37559.0537541635,37644.3005526002,37729.7408334578,37815.3750358782,37901.2036,37969.6330399636,38038.1860271449,38106.8627846046,38175.663535806,38244.588504616,38295.6994587924,38346.8787188321,38398.1263760207,38449.4425217658,38500.827247597,38539.9415339126,38579.0955577482,38618.2893594746,38657.5229795033,38696.7964582873,38727.5501872263,38758.3283572543,38789.1309877955,38819.9580982894,38850.8097081912,38873.5496470667,38896.302895956,38919.0694626499,38941.8493549435,38964.6425806363,38976.7919702658,38988.9451481417,39001.1021154453,39013.2628733581,39025.4274230621,0.0031785910844385
"Angola",21275,21381.3280635231,21488.187532785,21595.581063642,21703.5113252238,21811.981,21910.3773689064,22009.2176152128,22108.5037413014,22208.2377585874,22308.42168756,22400.1987639815,22492.35341224,22584.8871856699,22677.801643996,22771.09835336,22855.4079251718,22940.0296516188,23024.9646884478,23110.2141956846,23195.7793376502,23272.6950595926,23349.8658291537,23427.2924920549,23504.9758968223,23582.9168947956,23653.0118922578,23723.3152315758,23793.8275319996,23864.5494146197,23935.4815023728,23998.9559466539,24062.5987186571,24126.4102647701,24190.3910325647,24254.5414707994,3.51939141473566e-05
"Argentina",41826,41891.1290653743,41956.3595460204,42021.6915998564,42087.1253850462,42152.66106,42210.5041557064,42268.4266253749,42326.4285779247,42384.5101224246,42442.6713680928,42493.0583682436,42543.5051867258,42594.0118945545,42644.578562829,42695.205262733,42738.8358886667,42782.5111011413,42826.2309457204,42869.9954680138,42913.8047136781,42950.7328040739,42987.6926717468,43024.6843440415,43061.7078483266,43098.7632119941,43128.9761545236,43159.2102768231,43189.4655937402,43219.7421201325,43250.0398708682,43273.1970809979,43296.3666901076,43319.5487048361,43342.7431318256,43365.9499777221,0.00156557362693464
"Armenia",3124,3124.54338693424,3125.08686838491,3125.63044436847,3126.17411490135,3126.71788,3126.17364166097,3125.62949805238,3125.08544915775,3124.54149496058,3123.9976354444,3122.89095647513,3121.78466954788,3120.67877452376,3119.57327126395,3118.46815962966,3117.16354882794,3115.85948380999,3114.5559643475,3113.25299021223,3111.95056117604,3110.44291699766,3108.93600322644,3107.42981950852,3105.92436549021,3104.41964081799,3102.48628520873,3100.55413364542,3098.62318537821,3096.69343965773,3094.76489573505,3092.32236853501,3089.88176908693,3087.44309586936,3085.00634736203,3082.57152204585,0.000418466151808205
"Australia",23502,23557.2513296047,23612.6325506834,23668.1439686006,23723.7858894389,23779.55862,23828.3910978651,23877.3238555937,23926.3570991156,23975.491034783,24024.7258693722,24066.909043628,24109.1662840855,24151.4977207917,24193.9034840223,24236.3837042814,24272.3887801517,24308.4473444262,24344.5594765662,24380.725256151,24416.9447628783,24448.3130866736,24479.7217091937,24511.1706822102,24542.6600575611,24574.1898871512,24601.9451032261,24629.7316673138,24657.5496148201,24685.3989811911,24713.2798019125,24737.5499524654,24761.8439379854,24786.1617818799,24810.5035075795,24834.8691385379,2.94059977733775e-05
"Austria",8450,8452.07767803372,8454.15586692495,8456.23456679931,8458.31377778244,8460.3935,8462.23706216503,8464.0810260515,8465.92539174694,8467.77015933892,8469.615328915,8470.74995333047,8471.88472974487,8473.01965817858,8474.15473865196,8475.28997118537,8475.22216778074,8475.15436491854,8475.08656259878,8475.01876082144,8474.95095958653,8473.74717462677,8472.54356065305,8471.34011764107,8470.13684556656,8468.93374440522,8466.7137201665,8464.49427787916,8462.27541739063,8460.05713854842,8457.83944120005,8454.84324397862,8451.84810816276,8448.85403337644,8445.86101924381,8442.86906538912,0.00332168409045907
"Azerbaijan",9642,9660.46109529195,9678.95753719657,9697.48939339041,9716.05673167957,9734.65961999999,9747.10757785532,9759.57145323224,9772.05126648491,9784.54703799348,9797.0587881642,9805.97745293682,9814.90423673609,9823.83914695308,9832.78219098561,9841.73337623823,9850.1435141507,9858.56083884796,9866.98535647139,9875.41707316762,9883.85599508853,9892.10511767398,9900.36112502419,9908.62402288523,9916.89381700794,9925.170513148,9931.81148444257,9938.4568992376,9945.10676050626,9951.76107122369,9958.41983436704,9962.36024904764,9966.30222289808,9970.24575653531,9974.1908505765,9978.13750563909,0.00122300576157635
"Bahamas",358,358.747952142879,359.497466946116,360.248547674501,361.001197599647,361.75542,362.401374741029,363.048482906456,363.696746555849,364.346167752454,364.9967485632,365.522288293153,366.048584720279,366.575638934106,367.103452025733,367.632025087826,368.025284372255,368.418964329678,368.813065410093,369.207588063979,369.602532742297,369.886689427519,370.171064577213,370.455658359336,370.740470941977,371.025502493355,371.240448092313,371.455518215353,371.670712934617,371.886032322287,372.101476450586,372.247226006452,372.393032651403,372.538896407802,372.684817298018,372.830795344429,0.000976731393804198
"Bangladesh",156379,156721.219931803,157064.188777986,157407.908177473,157752.379772776,158097.60521,158389.637313382,158682.208847765,158975.320809566,159268.974197043,159563.170010297,159800.848260748,160038.880546224,160277.267394079,160516.009332453,160755.106890274,160937.311192463,161119.722010069,161302.339577161,161485.164128074,161668.19589741,161798.935509126,161929.780848787,162060.732001893,162191.789054016,162322.952090795,162404.356523671,162485.801780605,162567.287882072,162648.814848553,162730.382700543,162764.21654819,162798.057430352,162831.90534849,162865.760304069,162899.622298551,0.000458063869900648
"Barbados",276,276.104800381947,276.209640557808,276.314520542692,276.419440351715,276.5244,276.588523914203,276.652662698255,276.716816355606,276.780984889705,276.845168304,276.849044027838,276.852919805934,276.856795638289,276.860671524905,276.864547465781,276.7947424092,276.724954952365,276.65518509084,276.585432820188,276.515698135974,276.370651821857,276.225681591786,276.080787405852,275.935969224165,275.791227006858,275.586838780036,275.382602024846,275.178516629033,274.974582480425,274.770799466933,274.5324347486,274.294276812571,274.056325479462,273.818580570043,273.581041905241,0.00196422501695729
"Belarus",9472,9465.55026238196,9459.10491656241,9452.66395955087,9446.22738835887,9439.7952,9432.17443046686,9424.55981319942,9416.95134323095,9409.34901559872,9401.752825344,9392.80414146971,9383.86397504367,9374.93231795887,9366.00916211604,9357.09449942362,9347.45556821057,9337.82656625441,9328.20748332679,9318.59830920994,9308.99903369659,9299.42834142595,9289.8674888975,9280.31646599488,9270.77526261215,9261.24386865372,9251.62927788149,9242.02466852827,9232.43003023183,9222.84535264069,9213.2706254141,9203.16918114393,9193.078812113,9182.99950617839,9172.93125121052,9162.87403509308,0.0233553193864211
"Belize",338,339.234118907364,340.472743878271,341.715891365438,342.963577881654,344.21582,345.334795353804,346.457408268027,347.583670567635,348.713594116036,349.8471908152,350.826858445271,351.809269412121,352.794431397841,353.782352106034,354.773039261878,355.616922646656,356.462813340581,357.310716118354,358.160635766032,359.012577081058,359.733445724327,360.455761814383,361.179528257583,361.90474796612,362.631423858035,363.245091524069,363.859797677061,364.475544074404,365.092332476465,365.71016464659,366.216367080865,366.72327018176,367.23087491911,367.739182264095,368.248193189237,0.00182898373054143
"Benin",9863,9913.33719327834,9963.93128942873,10014.7835995908,10065.8954415956,10117.26814,10166.3837905565,10215.737879701,10265.331564966,10315.1660095033,10365.2423821114,10412.978314421,10460.9340890797,10509.110718546,10557.5092199414,10606.1306150717,10652.2463319475,10698.5625610949,10745.0801743463,10791.8000473246,10838.7230594602,10882.8871570471,10927.2312082599,10971.7559463484,11016.4621075498,11061.3504311015,11103.2202453524,11145.2485467028,11187.4359350635,11229.7830126164,11272.2903838226,11311.7591190433,11351.3660498753,11391.1116601958,11430.9964355766,11471.0208632894,2.22188525425847e-05
