Territory,Region,CITRUS,FRUIT,NUT,GRAIN,OIL,VEGGIES,SPECIAL,FEED,FISH,MEAT,POULTRY,DAIRY
US-Alaska,ARCTIC_AMERICA,0,0,0,0,0,0,0,0.00015,0.15951,0.00004,0.00002,0.00007
US-California,USA_CALIFORNIA,0.51124,0.64128,0.93269,0.08419,0.00131,0.49243,0.22222,0.02314,0.02083,0.03399,0.0378,0.19953
US-Illinois,USA_HEARTLAND,0,0.00127,0,0.01544,0.17223,0.00631,0.01981,0.13796,0,0.02305,0.00345,0.00968
US-Indiana,USA_HEARTLAND,0,0.00273,0,0.00925,0.10202,0.00396,0.01275,0.07008,0,0.01615,0.03122,0.02003
US-Iowa,USA_HEARTLAND,0,0.00019,0,0.00028,0.15678,0,0.00686,0.13515,0,0.12557,0.03973,0.0243
US-Missouri,USA_HEARTLAND,0,0.00134,0.00009,0.02653,0.07709,0.00252,0.01001,0.033,0.00971,0.02969,0.00356,0.00714
US-Arizona,USA_MOUNTAIN,0.01548,0.00019,0.0042,0.00439,0,0.04207,0.02152,0.00568,0,0.01107,0.00062,0.02318
US-Colorado,USA_MOUNTAIN,0,0.00241,0,0.02698,0.00051,0.0154,0.0185,0.01643,0.00244,0.03698,0.00362,0.01827
US-Idaho,USA_MOUNTAIN,0,0.00148,0,0.03979,0.00051,0.06298,0.02378,0.01429,0.08473,0.01873,0.00118,0.06818
US-Montana,USA_MOUNTAIN,0,0.00025,0,0.08238,0.00175,0.01124,0.00506,0.0104,0,0.01879,0.00053,0.00139
US-Nevada,USA_MOUNTAIN,0,0,0,0.00049,0,0.00153,0.00211,0.00283,0.00161,0.00356,0.00036,0.00362
US-NewMexico,USA_MOUNTAIN,0,0,0.01405,0.00141,0.00012,0.00797,0.00665,0.00326,0.00158,0.00989,0.00051,0.03834
US-Oregon,USA_MOUNTAIN,0,0.03637,0.01295,0.02124,0.00026,0.02114,0.06071,0.00681,0.00385,0.00885,0.00436,0.01388
US-Utah,USA_MOUNTAIN,0,0.00219,0,0.00275,0.00012,0.0004,0.00633,0.00457,0.00096,0.00941,0.00401,0.01096
US-Washington,USA_MOUNTAIN,0,0.20066,0,0.04964,0.00083,0.06985,0.04565,0.00998,0.01563,0.00862,0.00741,0.03459
US-Wyoming,USA_MOUNTAIN,0,0,0,0.00161,0,0.00168,0.00331,0.00408,0.00256,0.01169,0.00052,0.00064
US-Connecticut,USA_NORTHERN_CRESCENT,0.00113,0.00079,0,0,0,0,0.01397,0.0001,0.00143,0.0002,0.00181,0.00211
US-Delaware,USA_NORTHERN_CRESCENT,0.0028,0,0,0.00196,0,0.00062,0.00171,0.00207,0,0.00015,0.02527,0.00049
US-Maine,USA_NORTHERN_CRESCENT,0,0.00501,0,0,0,0.00869,0.00758,0.00028,0.07975,0.00109,0.0036,0.00341
US-Maryland,USA_NORTHERN_CRESCENT,0.00391,0.00068,0,0.0065,0,0.00068,0.0109,0.00501,0,0.00133,0.0245,0.00518
US-Massachusetts,USA_NORTHERN_CRESCENT,0.00069,0.00605,0,0,0,0.00065,0.00745,0.00014,0.00125,0.00051,0.00058,0.00129
US-Michigan,USA_NORTHERN_CRESCENT,0,0.03026,0,0.01403,0.02939,0.03337,0.04012,0.02242,0.00099,0.00965,0.01122,0.04924
