territory,region,population2000,population2010,population2014,population2025,population2050,undernourished,landArea,farmLand2000,farmLand2009,organic,gmo
Territory,Region,2000 Population in 1000s,2010 Population in 1000s,2014 Population in 1000s,2025 Population in 1000s,2050 Population in 1000s,Undernourished (1000's of people in 1990),Land Area (km^2), Farm Land Percent in 2000, Farm Land Percent in 2009,organic,gmo
Afghanistan,CENTRAL_ASIA,19702,27962,31628,45193,72267,3620,652864,58,58,0,0
Albania,EUROPE,3122,2902,2890,3676,3905,33,27400,42,44,1,0
Algeria,MIDDLE_EAST,31184,36036,38934,42738,51180,2073,2381740,17,17,0,0
Andorra,EUROPE,65,84,73,181,193,1,470,40,42,0,0
Angola,SUB_SAHARAN,15059,21220,24228,28213,53328,7011,1246700,46,47,0,0
Antigua and Barbuda,MIDDLE_AMERICA,78,87,91,70,73,1,440,20,20,0,0
Argentina,SOUTH_AMERICA,37057,41223,42980,47160,54522,1637,2736690,47,53,10,62
Armenia,RUSSIA,3076,2963,3006,3736,3150,957,28470,46,61,0,0
Australia,OCEANIA,19107,22163,23622,23523,26502,171,7682300,59,53,23,1
Austria,EUROPE,8051,8392,8517,7605,6452,77,82409,41,39,38,0
Azerbaijan,RUSSIA,8118,9100,9630,9076,8897,1732,82658,57,58,1,0
Bahamas,MIDDLE_AMERICA,298,361,383,393,449,3,10010,1,1,0,0
Bahrain,MIDDLE_EAST,667,1261,1362,887,1008,5,760,13,11,0,0
Bangladesh,SOUTH_ASIA,131281,151617,159078,210823,265432,34974,130170,72,71,0,1
Barbados,MIDDLE_AMERICA,270,280,283,285,263,13,430,42,37,0,0
Belarus,EUROPE,9952,9492,9500,9335,8305,102,202910,46,44,0,0
Belgium,EUROPE,10268,10930,11226,10205,9583,100,30280,46,45,7,0
Belize,MIDDLE_AMERICA,247,322,352,324,392,19,22810,7,7,1,0
Benin,SUB_SAHARAN,6949,9510,10598,11992,18070,1400,112760,28,30,0,0
Bhutan,SOUTH_ASIA,564,720,765,3843,5569,5,38117,13,14,5,0
Bolivia,SOUTH_AMERICA,8340,9918,10562,13131,16966,2605,1083300,34,34,1,24
Bosnia and Herzegovina,EUROPE,3793,3835,3818,4165,3458,45,51000,42,42,0,0
Botswana,SUB_SAHARAN,1737,2048,2220,1826,2109,345,566730,46,46,0,0
Brazil,SOUTH_AMERICA,175786,198614,206078,218980,247244,22559,8358140,31,33,1,53
Brunei Darussalam,OCEANIA,331,393,417,473,565,13,5270,2,3,0,0
Bulgaria,EUROPE,8001,7407,7201,6125,4531,88,108560,50,46,1,0
Burkina Faso,SUB_SAHARAN,11608,15632,17589,25227,46304,2291,273600,36,43,0,9
Burundi,SUB_SAHARAN,6767,9461,10817,12390,20218,56,25680,73,71,0,0
Cabo Verde,SUB_SAHARAN,439,490,514,647,807,55,4030,18,19,0,0
Cambodia,EAST_ASIA,12198,14364,15328,22310,29883,2883,176520,27,31,0,0
Cameroon,SUB_SAHARAN,15928,20591,22773,23986,32284,4587,472710,19,20,0,0
Canada,ARCTIC_AMERICA,30702,34126,35588,36717,40407,277,9093510,7,7,2,24
Central African Republic,SUB_SAHARAN,3726,4445,4804,5886,8195,1381,622980,8,8,0,0
Chad,SUB_SAHARAN,8343,11896,13587,16383,27732,3515,1259200,39,39,0,0
Chile,SOUTH_AMERICA,15170,17015,17763,19548,22732,1183,743532,20,21,2,3
China,EAST_ASIA,1269975,1340969,1369436,1470787,1462058,277105,9388211,56,55,2,3
Colombia,SOUTH_AMERICA,40404,45918,47791,59161,70862,7540,1109500,40,38,1,3
Comoros,SUB_SAHARAN,548,699,770,1327,1900,4,1861,71,71,2,0
Congo (Brazzaville),SUB_SAHARAN,3109,4066,4505,6284,10744,1026,341500,31,31,0,0
Congo (Kinshasa),SUB_SAHARAN,48049,65939,74877,114876,203527,350,2267050,11,11,1,0
Costa Rica,MIDDLE_AMERICA,3925,4545,4758,5929,7195,155,51060,36,36,2,9
Cote d'Ivoire,SUB_SAHARAN,16518,20132,22157,25024,32185,1338,318000,62,65,0,0
Croatia,EUROPE,4428,4316,4256,4519,4179,48,55960,21,23,3,0
Cuba,MIDDLE_AMERICA,11117,11308,11379,11733,10764,635,106440,61,61,0,1
Cyprus,MIDDLE_EAST,943,1104,1154,899,910,8,9240,15,14,3,0
Czech Republic,EUROPE,10263,10507,10543,9727,8429,103,77240,55,55,15,2
Denmark,EUROPE,5338,5551,5647,5359,5080,51,42430,62,62,7,0
Djibouti,SUB_SAHARAN,723,831,876,801,1068,441,23180,69,73,0,0
Dominica,MIDDLE_AMERICA,70,71,72,70,72,1,750,28,31,1,0
Dominican Republic,MIDDLE_AMERICA,8563,9898,10406,11446,12591,2443,48320,52,50,15,0
Ecuador,SOUTH_AMERICA,12629,14935,15903,17493,19242,1941,248360,32,30,2,0
Egypt,MIDDLE_EAST,68335,82041,89580,94777,113840,2820,995450,3,4,2,0
El Salvador,MIDDLE_AMERICA,5812,6038,6108,8975,10855,840,20720,72,75,1,0
Equatorial Guinea,SUB_SAHARAN,531,729,821,889,1378,4,28050,12,10,0,0
Eritrea,SUB_SAHARAN,3535,4690,5110,7063,10028,31,101000,75,75,0,0
Estonia,EUROPE,1399,1332,1316,1062,752,16,42390,23,22,21,0
Ethiopia,SUB_SAHARAN,66444,87562,96959,113418,186452,36043,1000000,31,35,1,0
Fiji,OCEANIA,811,860,886,954,916,51,18270,23,23,1,0
Finland,EUROPE,5176,5368,5480,5138,4693,50,303890,7,8,8,0
France,EUROPE,59387,62961,64121,62753,61832,569,547557,55,53,5,0
Gabon,SUB_SAHARAN,1232,1542,1688,2178,3164,114,257670,20,20,0,0
Gambia,SUB_SAHARAN,1229,1693,1928,2077,2605,119,10120,55,60,0,0
Georgia,RUSSIA,4744,4250,4035,4377,3219,3112,69490,43,36,0,0
Germany,EUROPE,81896,80435,80646,78897,70805,790,348560,49,48,8,0
Ghana,SUB_SAHARAN,18825,24318,26787,30936,40056,6875,227540,63,69,0,0
Greece,EUROPE,10954,11178,11001,10149,8983,101,128900,66,64,6,0
Grenada,MIDDLE_AMERICA,102,105,106,100,105,1,340,35,32,1,0
Guatemala,MIDDLE_AMERICA,11689,14732,16015,19624,26551,1374,107160,42,38,1,0
Guinea,SUB_SAHARAN,8799,11012,12276,14120,20711,1388,245720,55,58,0,0
Guinea-Bissau,SUB_SAHARAN,1315,1634,1801,2170,3276,243,28120,58,57,0,0
Guyana,SOUTH_AMERICA,742,753,764,703,504,166,196850,9,9,1,0
Haiti,MIDDLE_AMERICA,8549,10000,10572,11549,13982,4331,27560,61,65,0,0
Honduras,MIDDLE_AMERICA,6243,7504,7962,10106,12845,1128,111890,26,29,2,3
Hungary,EUROPE,10224,10015,9890,8783,7486,104,90530,65,64,3,0
Iceland,EUROPE,281,318,327,319,333,3,100250,19,19,7,0
India,SOUTH_ASIA,1053481,1230985,1295292,1351801,1572055,208944,2973190,61,61,1,7
Indonesia,OCEANIA,211540,241613,254455,272911,311335,36287,1811570,26,31,0,0
Iran,MIDDLE_EAST,65850,74253,78144,99343,121424,2808,1628550,39,29,0,0
Iraq,MIDDLE_EAST,23575,30868,35273,40298,53574,1398,434320,19,18,0,0
Ireland,EUROPE,3842,4617,4675,4745,5366,36,68890,64,61,5,0
Israel,MIDDLE_EAST,6014,7420,7939,8486,10065,45,21640,26,24,0,0
Italy,EUROPE,57147,59588,59789,52364,42962,570,294140,53,48,12,0
Jamaica,MIDDLE_AMERICA,2600,2741,2783,3264,3815,239,10830,44,41,0,0
Japan,EAST_ASIA,125715,127320,126795,123798,109220,1222,364555,14,13,0,0
Jordan,MIDDLE_EAST,4767,6518,7416,8666,11709,201,88780,12,12,1,0
Kazakhstan,CENTRAL_ASIA,14957,16311,17372,16090,15302,827,2699700,80,78,1,0
Kenya,SUB_SAHARAN,31066,40328,44864,44897,55368,7737,569140,47,48,0,0
Kiribati,OCEANIA,84,103,110,112,138,6,810,42,42,0,0
Kuwait,MIDDLE_EAST,1929,3059,3753,3219,4001,824,17820,8,9,0,0
Kyrgyz Republic,CENTRAL_ASIA,4955,5465,5844,6460,7538,703,191800,56,55,1,0
Laos,EAST_ASIA,5343,6261,6689,8721,11438,1827,230800,8,9,0,0
Latvia,EUROPE,2371,2091,1989,2090,1744,27,62200,26,29,16,0
Lebanon,MIDDLE_EAST,3235,4337,5612,4581,5018,135,10230,58,65,1,0
Lesotho,SUB_SAHARAN,1856,2011,2109,2225,2478,256,30360,77,77,0,0
Liberia,SUB_SAHARAN,2892,3958,4397,7638,14370,610,96320,27,28,0,0
Libya,MIDDLE_EAST,5337,6266,6259,7972,9969,44,1759540,9,9,0,0
Liechtenstein,EUROPE,33,36,37,39,39,0,160,44,41,36,0
Lithuania,EUROPE,3486,3123,2917,3418,2989,37,62674,55,43,7,0
Luxembourg,EUROPE,436,508,557,576,715,4,2590,49,50,5,0
Macedonia,EUROPE,2012,2062,2076,2490,2988,20,25220,49,40,2,0
Madagascar,SUB_SAHARAN,15745,21080,23572,30759,47030,3117,581795,70,71,1,0
Malawi,SUB_SAHARAN,11193,14770,16695,19544,31114,4234,94280,50,58,0,0
Malaysia,OCEANIA,23421,28120,29902,31326,37850,911,328550,21,22,0,0
Maldives,SOUTH_ASIA,280,333,357,580,868,27,300,30,27,0,0
Mali,SUB_SAHARAN,11047,15167,17086,23461,41724,1442,1220190,32,34,0,0
Malta,EUROPE,387,412,418,418,400,4,320,28,29,0,0
Marshall Islands,OCEANIA,52,52,53,69,85,0,180,67,72,0,0
Mauritania,SUB_SAHARAN,2711,3591,3970,421,413,304,1030700,39,38,0,0
Mauritius,SUB_SAHARAN,1185,1248,1269,1374,1426,84,2030,50,45,0,0
Mexico,MIDDLE_AMERICA,102809,118618,125386,130194,146651,5993,1943950,55,55,1,1
Micronesia,OCEANIA,107,104,104,204,269,1,3170,32,31,0,0
Moldova,EUROPE,4201,4084,4072,4052,3577,44,32850,77,75,1,0
Monaco,EUROPE,32,37,38,39,38,0,2,0,0,0,0
Mongolia,EAST_ASIA,2397,2713,2910,3478,4146,655,1553560,84,73,0,0
Montenegro,EUROPE,614,622,625,750,900,6,13450,30,38,2,0
Morocco,MIDDLE_EAST,28951,32108,33921,42002,50361,1497,446300,69,67,0,0
Mozambique,SUB_SAHARAN,18265,24321,27216,28012,38837,7355,786380,61,63,0,0
Myanmar,SOUTH_ASIA,47670,51733,53437,60243,68546,26464,653290,17,19,0,2
Namibia,SUB_SAHARAN,1898,2194,2403,2776,3662,509,823290,47,47,2,0
Nauru,OCEANIA,10,10,10,20,26,0,20,0,0,0,0
