,Population in Thousands of People,,,,,,,,,,,,,,,,
,,,"Major area, region, country or area *",1981,1990,2000,2010,2014,,,,,,,,,
Afghanistan,, ,Afghanistan,  12 997,  12 068,  19 702,  27 962,  31 628,,,,,,,,,
Albania,, ,Albania,  2 735,  3 281,  3 122,  2 902,  2 890,,,,,,,,,
Algeria,, ,Algeria,  19 944,  25 912,  31 184,  36 036,  38 934,,,,,,,,,
Andorra,, ,Andorra,   38,   55,   65,   84,   73,,,,,,,,,
Angola,, ,Angola,  8 498,  11 128,  15 059,  21 220,  24 228,,,,,,,,,
Antigua and Barbuda,, ,Antigua and Barbuda,   70,   62,   78,   87,   91,,,,,,,,,
Argentina,, ,Argentina,  28 543,  32 730,  37 057,  41 223,  42 980,,,,,,,,,
Armenia,, ,Armenia,  3 146,  3 545,  3 076,  2 963,  3 006,,,,,,,,,
Australia,, ,Australia,  14 898,  17 097,  19 107,  22 163,  23 622,,,,,,,,,
Austria,, ,Austria,  7 592,  7 707,  8 051,  8 392,  8 517,,,,,,,,,
Azerbaijan,, ,Azerbaijan,  6 262,  7 217,  8 118,  9 100,  9 630,,,,,,,,,
Bahamas,, ,Bahamas,   215,   256,   298,   361,   383,,,,,,,,,
Bahrain,, ,Bahrain,   374,   496,   667,  1 261,  1 362,,,,,,,,,
Bangladesh,, ,Bangladesh,  83 600,  105 983,  131 281,  151 617,  159 078,,,,,,,,,
Barbados,, ,Barbados,   253,   260,   270,   280,   283,,,,,,,,,
Belarus,, ,Belarus,  9 720,  10 232,  9 952,  9 492,  9 500,,,,,,,,,
Belgium,, ,Belgium,  9 866,  9 978,  10 268,  10 930,  11 226,,,,,,,,,
Belize,, ,Belize,   148,   188,   247,   322,   352,,,,,,,,,
Benin,, ,Benin,  3 822,  5 001,  6 949,  9 510,  10 598,,,,,,,,,
Bhutan,, ,Bhutan,   424,   536,   564,   720,   765,,,,,,,,,
Bolivia,,ERROR,Bolivia (Plurinational State of),  5 712,  6 856,  8 340,  9 918,  10 562,,,,,,,,,
Bosnia and Herzegovina,, ,Bosnia and Herzegovina,  4 185,  4 527,  3 793,  3 835,  3 818,,,,,,,,,
Botswana,, ,Botswana,  1 033,  1 380,  1 737,  2 048,  2 220,,,,,,,,,
Brazil,, ,Brazil,  125 107,  150 393,  175 786,  198 614,  206 078,,,,,,,,,
Brunei Darussalam,, ,Brunei Darussalam,   199,   257,   331,   393,   417,,,,,,,,,
