,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Afghanistan,35622,35815.5219,36010.09513,36205.72541,36402.41848,36600.18012,36776.85546,36954.38364,37132.76878,37312.01502,37492.12651,37659.19551,37827.00898,37995.57025,38164.88264,38334.94951,38490.77418,38647.23224,38804.32628,38962.05888,39120.43263,39265.42949,39410.96378,39557.03747,39703.65258,39850.81111,39985.86359,40121.37377,40257.34318,40393.77338,40530.66594,40655.77938,40781.27903,40907.16609,41033.44174,41160.10719
Albania,3246,3247.401062,3248.802729,3250.205,3251.607877,3253.01136,3253.466654,3253.922012,3254.377434,3254.832919,3255.288468,3254.69579,3254.103219,3253.510757,3252.918402,3252.326155,3250.613629,3248.902005,3247.191282,3245.48146,3243.772538,3241.023651,3238.277094,3235.532864,3232.79096,3230.05138,3226.445059,3222.842764,3219.244491,3215.650236,3212.059994,3207.731334,3203.408508,3199.091507,3194.780324,3190.47495
Algeria,37474,37559.05375,37644.30055,37729.74083,37815.37504,37901.2036,37969.63304,38038.18603,38106.86278,38175.66354,38244.5885,38295.69946,38346.87872,38398.12638,38449.44252,38500.82725,38539.94153,38579.09556,38618.28936,38657.52298,38696.79646,38727.55019,38758.32836,38789.13099,38819.9581,38850.80971,38873.54965,38896.3029,38919.06946,38941.84935,38964.64258,38976.79197,38988.94515,39001.10212,39013.26287,39025.42742
Angola,21275,21381.32806,21488.18753,21595.58106,21703.51133,21811.981,21910.37737,22009.21762,22108.50374,22208.23776,22308.42169,22400.19876,22492.35341,22584.88719,22677.80164,22771.09835,22855.40793,22940.02965,23024.96469,23110.2142,23195.77934,23272.69506,23349.86583,23427.29249,23504.9759,23582.91689,23653.01189,23723.31523,23793.82753,23864.54941,23935.4815,23998.95595,24062.59872,24126.41026,24190.39103,24254.54147
Argentina,41826,41891.12907,41956.35955,42021.6916,42087.12539,42152.66106,42210.50416,42268.42663,42326.42858,42384.51012,42442.67137,42493.05837,42543.50519,42594.01189,42644.57856,42695.20526,42738.83589,42782.5111,42826.23095,42869.99547,42913.80471,42950.7328,42987.69267,43024.68434,43061.70785,43098.76321,43128.97615,43159.21028,43189.46559,43219.74212,43250.03987,43273.19708,43296.36669,43319.5487,43342.74313,43365.94998
Armenia,3124,3124.543387,3125.086868,3125.630444,3126.174115,3126.71788,3126.173642,3125.629498,3125.085449,3124.541495,3123.997635,3122.890956,3121.78467,3120.678775,3119.573271,3118.46816,3117.163549,3115.859484,3114.555964,3113.25299,3111.950561,3110.442917,3108.936003,3107.42982,3105.924365,3104.419641,3102.486285,3100.554134,3098.623185,3096.69344,3094.764896,3092.322369,3089.881769,3087.443096,3085.006347,3082.571522
Australia,23502,23557.25133,23612.63255,23668.14397,23723.78589,23779.55862,23828.3911,23877.32386,23926.3571,23975.49103,24024.72587,24066.90904,24109.16628,24151.49772,24193.90348,24236.3837,24272.38878,24308.44734,24344.55948,24380.72526,24416.94476,24448.31309,24479.72171,24511.17068,24542.66006,24574.18989,24601.9451,24629.73167,24657.54961,24685.39898,24713.2798,24737.54995,24761.84394,24786.16178,24810.50351,24834.86914
Austria,8450,8452.077678,8454.155867,8456.234567,8458.313778,8460.3935,8462.237062,8464.081026,8465.925392,8467.770159,8469.615329,8470.749953,8471.88473,8473.019658,8474.154739,8475.289971,8475.222168,8475.154365,8475.086563,8475.018761,8474.95096,8473.747175,8472.543561,8471.340118,8470.136846,8468.933744,8466.71372,8464.494278,8462.275417,8460.057139,8457.839441,8454.843244,8451.848108,8448.854033,8445.861019,8442.869065
Azerbaijan,9642,9660.461095,9678.957537,9697.489393,9716.056732,9734.65962,9747.107578,9759.571453,9772.051266,9784.547038,9797.058788,9805.977453,9814.904237,9823.839147,9832.782191,9841.733376,9850.143514,9858.560839,9866.985356,9875.417073,9883.855995,9892.105118,9900.361125,9908.624023,9916.893817,9925.170513,9931.811484,9938.456899,9945.106761,9951.761071,9958.419834,9962.360249,9966.302223,9970.245757,9974.190851,9978.137506
Bahamas,358,358.7479521,359.4974669,360.2485477,361.0011976,361.75542,362.4013747,363.0484829,363.6967466,364.3461678,364.9967486,365.5222883,366.0485847,366.5756389,367.103452,367.6320251,368.0252844,368.4189643,368.8130654,369.2075881,369.6025327,369.8866894,370.1710646,370.4556584,370.7404709,371.0255025,371.2404481,371.4555182,371.6707129,371.8860323,372.1014765,372.247226,372.3930327,372.5388964,372.6848173,372.8307953
