territory,region,averageAge,undernourish,births,migration,mortality,landArea,organic,conventional,gmo,farmLand,incomeCitrusFruits,productionCitrusFruits,incomeNonCitrusFruits,productionNonCitrusFruits,incomeNuts,productionNuts,incomeGrains,productionGrains,incomeOilCrops,productionOilCrops,incomeVegetables,productionVegetables,incomeSpecialtyCrops,productionSpecialtyCrops,incomeFeedCrops,productionFeedCrops,incomeFish,productionFish,incomeMeatAnimals,productionMeatAnimals,incomePoultryAndEggs,productionPoultryAndEggs,incomeDairy,productionDairy
Territory,Region,Average age of population (years),Undernourished (1000's of people),Total Births (1000's of births),Total Migration (1000's of people),Mortality (1000's of deaths),Land Area (km^2),organic,conventional,gmo,Land Used for Farming (km^2),Total Net Income Citrus Fruits (1000 $),Total Net Production Citrus Fruits (Metric Tons),Total Net Income Non-Citrus Fruits (1000 $),Total Net Production Non-Citrus Fruits (Metric Tons),Total Net Income Nuts (1000 $),Total Net Production Nuts (Metric Tons),Total Net Income Grains (1000 $),Total Net Production Grains (Metric Tons),Total Net Income Oil Crops (1000 $),Total Net Production Oil Crops (Metric Tons),Total Net Income Vegetables (1000 $),Total Net Production Vegetables (Metric Tons),Total Net Income Specialty Crops (1000 $),Total Net Production Specialty Crops (Metric Tons),Total Net Income Feed Crops (1000 $),Total Net Production Feed Crops (Metric Tons),Total Net Income Fish (1000 $),Total Net Production Fish (MetricTons),Total Net Income Meat Animals (1000 $),Total Net Production Meat Animals (Metric Tons),Total Net Income Poultry and Eggs (1000 $),Total Net Production Poultry and Eggs (Metric Tons),Total Net Income Dairy (1000 $),Total Net Production Dairy (Metric Tons)
US-Alabama,SOUTHEAST,39,121,58,10,44,131171,,,,12849,2280,,1274,,3318,,106957,,0,,19718,,269103,,251823,,104468,,851360,,4282031,,30024,
US-Alaska,ARCTIC_AMERICA,33,12,11,-80,5,1717939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-Arizona,MOUNTAIN,37,205,86,11,43,294207,,,,92371,59937,,2991,,42000,,67014,,0,,706471,,525929,,360035,,0,,1224027,,27458,,1087152,
US-Arkansas,SOUTHERN_PLAINS,38,84,38,-7,26,134771,,,,55890,0,,7306,,5320,,1588674,,1704922,,31140,,89692,,807599,,21295,,864501,,4778461,,23970,
US-California,CALIFORNIA,36,871,495,-94,235,403466,,,,72031,1979566,,10106534,,9337130,,1284260,,44252,,8269843,,5430577,,1467414,,13061,,3756909,,1678038,,9358087,
US-Colorado,MOUNTAIN,36,94,65,42,33,268871,,,,104188,0,,38020,,0,,411549,,17356,,258705,,452110,,1041882,,1532,,4088113,,160814,,857040,
US-Connecticut,NORTHERN_CRESCENT,41,46,36,-20,23,12542,,,,4670,4375,,12378,,0,,0,,0,,0,,341367,,6218,,894,,21938,,80183,,99180,
US-Delaware,NORTHERN_CRESCENT,40,16,11,7,7,5047,,,,1985,10829,,0,,0,,29926,,0,,10391,,41847,,131369,,0,,16732,,1121694,,23064,
US-Florida,SOUTHEAST,42,414,215,61,141,138887,,,,8652,1679542,,0,,892,,3289,,0,,882758,,1104771,,89183,,0,,1192096,,485083,,30024,
US-Georgia,SOUTHEAST,36,270,129,22,64,148959,,,,19879,0,,154897,,175920,,92137,,0,,58737,,374011,,398079,,4503,,708558,,5501761,,442464,
US-Hawaii,OCEANIA,38,25,19,-12,11,10432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-Idaho,MOUNTAIN,36,32,22,3,9,214045,,,,31600,0,,23371,,0,,606987,,17041,,1057677,,581071,,906135,,53118,,2070023,,52252,,3197502,
US-Illinois,HEARTLAND,38,257,157,-53,93,143793,,,,109013,0,,19942,,0,,235592,,5810862,,106020,,484206,,8749720,,0,,2548016,,153155,,453986,
US-Indiana,HEARTLAND,37,160,83,-15,47,92789,,,,59571,0,,43078,,0,,141147,,3441884,,66442,,311501,,4444709,,0,,1784852,,1385813,,939195,
US-Iowa,HEARTLAND,38,50,39,-4,25,144669,,,,123926,0,,2961,,0,,4333,,5289472,,0,,167566,,8571561,,0,,13880508,,1763804,,1139472,
US-Kansas,NORTHERN_PLAINS,36,59,39,-11,21,211754,,,,178659,0,,0,,404,,1530831,,1418026,,17172,,115147,,2739846,,0,,9595333,,60131,,743760,
