food,category,country,region,year,exports,imports,production
Food,Category,Country,Region,Year,Exports MetricTon,Imports MetricTon,Production MetricTon
Almonds,NUT,Algeria,MIDDLE_EAST,2014,0,42700,0
Almonds,NUT,Algeria,MIDDLE_EAST,2015,0,5200,0
Almonds,NUT,Australia,SOUTH_AMERICA,2014,30100,11900,90700
Almonds,NUT,Australia,SOUTH_AMERICA,2015,317800,45400,421800
Almonds,NUT,Canada,ARCTIC_AMERICA,2014,0,284600,0
Almonds,NUT,Canada,ARCTIC_AMERICA,2015,0,71000,0
Almonds,NUT,Chile,SOUTH_AMERICA,2014,42300,15500,45900
Almonds,NUT,Chile,SOUTH_AMERICA,2015,60800,29700,59300
Almonds,NUT,China,EAST_ASIA,2014,0,328100,15500
Almonds,NUT,China,EAST_ASIA,2015,0,174000,26500
Almonds,NUT,European Union,EUROPE,2015,501900,3495100,1274400
Almonds,NUT,Greece,EUROPE,2015,0,0,0
Almonds,NUT,Hong Kong,EAST_ASIA,2014,0,131900,0
Almonds,NUT,Hong Kong,EAST_ASIA,2015,0,36400,0
Almonds,NUT,India,SOUTH_ASIA,2015,212300,851600,16750
Almonds,NUT,Iran,MIDDLE_EAST,1981,2100,600,5500
Almonds,NUT,Iran,MIDDLE_EAST,2015,0,0,0
Almonds,NUT,Italy,EUROPE,1981,11174,4000,20000
Almonds,NUT,Italy,EUROPE,2015,0,0,0
Almonds,NUT,Japan,EAST_ASIA,2014,0,317800,0
Almonds,NUT,Japan,EAST_ASIA,2015,0,78000,0
Almonds,NUT,Malaysia,SOUTHEAST_ASIA,2014,0,20300,0
Almonds,NUT,Malaysia,SOUTHEAST_ASIA,2015,0,5700,0
Almonds,NUT,Mexico,MIDDLE_AMERICA,2014,0,73200,0
Almonds,NUT,Mexico,MIDDLE_AMERICA,2015,0,32100,0
Almonds,NUT,Morocco,MIDDLE_EAST,1981,200,0,2500
Almonds,NUT,Norway,EUROPE,2014,0,10900,0
Almonds,NUT,Norway,EUROPE,2015,0,7100,0
Almonds,NUT,Portugal,EUROPE,1981,4362,1162,5000
Almonds,NUT,Russia,RUSSIA,2014,0,117100,0
Almonds,NUT,Russia,RUSSIA,2015,0,27100,0
Almonds,NUT,South Korea,EAST_ASIA,2014,0,110900,0
Almonds,NUT,South Korea,EAST_ASIA,2015,0,52900,0
Almonds,NUT,Spain,EUROPE,1981,26500,6500,45000
Almonds,NUT,Spain,EUROPE,2015,0,0,0
Almonds,NUT,Switzerland,EUROPE,2014,0,13100,0
Almonds,NUT,Switzerland,EUROPE,2015,0,11200,0
Almonds,NUT,Taiwan,EAST_ASIA,2014,0,66500,0
Almonds,NUT,Taiwan,EAST_ASIA,2015,0,9700,0
Almonds,NUT,Turkey,MIDDLE_EAST,1981,7500,2000,32000
Almonds,NUT,Turkey,MIDDLE_EAST,2014,44100,125400,162600
Almonds,NUT,Turkey,MIDDLE_EAST,2015,22600,70600,45000
Almonds,NUT,United Arab Emirates,MIDDLE_EAST,2014,0,338500,0
Almonds,NUT,United Arab Emirates,MIDDLE_EAST,2015,0,126300,0
Almonds,NUT,United States,UNITED_STATES,2014,3080968,474411,3714921
Almonds,NUT,United States,UNITED_STATES,2015,4987440,1153281,5737949
Almonds,NUT,Vietnam,SOUTHEAST_ASIA,2015,0,0,0
Apples,FRUIT,Argentina,SOUTH_AMERICA,1981,243000,0,1816000
Apples,FRUIT,Argentina,SOUTH_AMERICA,2014,395500,300,3840000
Apples,FRUIT,Australia,SOUTH_AMERICA,1981,51408,0,613842
Apples,FRUIT,Australia,SOUTH_AMERICA,2014,105500,1600,6448000
Apples,FRUIT,Azerbaijan,RUSSIA,2014,598300,66300,3804200
Apples,FRUIT,Bangladesh,SOUTH_ASIA,2014,0,429000,0
Apples,FRUIT,Brazil,SOUTH_AMERICA,2014,865400,545400,18269000
Apples,FRUIT,Canada,ARCTIC_AMERICA,1981,76961,64996,1105178
Apples,FRUIT,Chile,SOUTH_AMERICA,1981,190000,0,586800
Apples,FRUIT,Colombia,SOUTH_AMERICA,2014,0,196400,4000
Apples,FRUIT,Costa Rica,MIDDLE_AMERICA,2014,0,32400,0
Apples,FRUIT,Croatia,EUROPE,2014,0,0,0
Apples,FRUIT,Ecuador,SOUTH_AMERICA,2014,0,58200,0
