Source:,,,,,,,,,,,,,,,
  Assessment of Fertilizer Use by Crop at the Global Level (2010-2011),,,,,,,,,,,,,,,
  Patrick Heffer, International Fertilizer Industry Association.,,,,,,,,,,,,N,P2O5,K2O
,,,,,,,,,,,,Citrus,93000,27000,96000
Country,FertilizerType,Total,Citrus,NonCitrus,Nuts,Grains,OilCrops,Vegetables,Specialty,FeedCrop,,NonCitrus,93000,27000,96000
,,,,,,,,,,,,Nuts,559000,192000,242000
Argentina,N,781,30,30,8,521,145,9,26,44,,Grains,7803000,2655000,2182000
,P2O5,613,7,7,3,260,299,6,11,26,,OilCrops,186000,380000,683000
,K2O,35,11,11,0,3,3,4,7,6,,Vegetables,140000,74000,71000
,N+P+K,1249,48,48,11,785,447,19,44,75,,Specialty,187000,122000,100000
Australia,N,982,23,23,97,529,86,17,69,161,,FeedCrop,2678000,466000,791000
,P2O5,817,17,17,20,443,45,12,24,255,,,,,
,K2O,168,16,16,7,46,9,9,28,52,,,,,
,N+P+K,1967,55,55,125,1018,140,38,121,468,,,,,
Bangladesh,N,1210,36,36,18,1029,12,36,36,41,,,,,
,P2O5,360,11,11,4,293,10,11,12,21,,,,,
,K2O,191,6,6,2,158,5,6,10,6,,,,,
,N+P+K,1761,53,53,24,1480,27,53,58,68,,,,,
Belarus,N,536,3,3,5,254,43,2,22,206,,,,,
,P2O5,241,2,2,5,127,18,1,13,77,,,,,
,K2O,660,4,4,12,346,46,3,32,218,,,,,
,N+P+K,1437,9,9,22,727,107,6,67,501,,,,,
Brazil,N,2855,157,157,106,1000,140,114,742,597,,,,,
,P2O5,3384,88,88,81,867,1632,85,322,310,,,,,
,K2O,4165,152,152,86,787,1582,117,798,374,,,,,
,N+P+K,10133,397,397,273,2652,3354,316,1862,1280,,,,,
Canada,N,1990,14,14,1,1114,707,12,26,117,,,,,
,P2O5,723,4,4,0,347,271,4,12,84,,,,,
,K2O,312,3,3,1,166,83,2,10,45,,,,,
,N+P+K,3025,21,21,2,1629,1061,18,48,246,,,,,
Chile,N,268,46,46,1,106,2,9,11,94,,,,,
,P2O5,131,10,10,0,44,1,4,11,62,,,,,
,K2O,94,34,34,0,18,1,8,12,21,,,,,
,N+P+K,493,90,90,1,168,4,21,34,176,,,,,
China,N,32599,3227,3227,913,14832,2028,6552,2217,2830,,,,,
,P2O5,12100,1016,1016,375,5203,1066,2505,835,1099,,,,,
,K2O,5200,567,567,78,1945,197,1508,645,260,,,,,
,N+P+K,49899,4811,4811,1366,21980,3293,10565,3696,4189,,,,,
Egypt,N,1159,93,93,35,698,26,151,115,42,,,,,
,P2O5,150,17,17,6,57,6,32,27,6,,,,,
,K2O,51,7,7,2,17,1,13,10,2,,,,,
,N+P+K,1360,116,116,43,772,33,195,151,50,,,,,
India,N,16558,414,414,1490,10828,1325,497,1043,960,,,,,
,P2O5,8050,242,242,716,4476,1063,298,491,765,,,,,
,K2O,3514,246,246,260,1809,288,281,383,246,,,,,
,N+P+K,28122,902,902,2467,17114,2675,1078,1917,1971,,,,,
Indonesia,N,3045,67,67,3,1857,590,167,116,244,,,,,
,P2O5,500,10,10,2,215,178,30,32,35,,,,,
,K2O,1250,28,28,1,238,804,44,78,59,,,,,
,N+P+K,4795,104,104,6,2310,1572,241,226,337,,,,,
Iran,N,1050,168,168,13,533,28,116,75,118,,,,,
,P2O5,349,45,45,6,189,21,28,30,28,,,,,
,K2O,50,14,14,1,10,5,9,8,3,,,,,
,N+P+K,1449,227,227,20,734,54,152,112,149,,,,,
Japan,N,405,48,48,0,181,4,80,41,50,,,,,
,P2O5,385,27,27,0,183,14,67,41,52,,,,,
,K2O,310,29,29,0,140,12,58,34,39,,,,,
,N+P+K,1100,103,103,0,505,30,205,117,141,,,,,
Malaysia,N,542,10,10,0,83,374,6,2,67,,,,,
,P2O5,280,8,8,0,51,179,5,1,36,,,,,
,K2O,1150,13,13,0,56,989,7,2,84,,,,,
,N+P+K,1972,31,31,0,190,1542,18,5,187,,,,,
Mexico,N,1166,111,111,7,814,9,64,76,85,,,,,
,P2O5,304,61,61,4,138,7,36,28,30,,,,,
,K2O,280,84,84,3,34,6,48,79,27,,,,,
,N+P+K,1750,256,256,14,984,22,148,184,142,,,,,
Morocco,N,205,23,23,0,118,3,16,15,30,,,,,
,P2O5,114,14,14,0,60,4,10,8,17,,,,,
,K2O,47,11,11,0,17,1,9,6,4,,,,,
,N+P+K,366,48,48,0,194,8,36,29,51,,,,,
Pakistan,N,3143,110,110,629,1863,31,63,270,176,,,,,
,P2O5,767,27,27,138,446,8,15,68,65,,,,,
,K2O,32,3,3,5,19,0,1,3,1,,,,,
,N+P+K,3942,140,140,772,2328,39,79,342,242,,,,,
Phillipines,N,433,36,36,0,303,11,18,44,21,,,,,
,P2O5,98,10,10,0,60,4,10,10,5,,,,,
,K2O,84,23,23,0,30,5,11,13,4,,,,,
,N+P+K,615,69,69,0,393,5,39,67,30,,,,,
Russia,N,1483,7,7,1,1043,71,16,160,184,,,,,
,P2O5,530,6,6,1,316,53,15,103,35,,,,,
,K2O,351,9,9,1,143,23,19,119,37,,,,,
,N+P+K,2364,22,22,3,1502,148,50,382,256,,,,,
SouthAfrica,N,395,30,30,1,253,10,20,42,39,,,,,
,P2O5,172,10,10,0,97,11,12,20,21,,,,,
,K2O,107,21,21,0,16,4,10,49,7,,,,,
,N+P+K,674,62,62,1,366,24,42,111,67,,,,,
Thailand,N,1311,118,118,8,687,54,131,187,127,,,,,
,P2O5,301,30,30,2,106,27,30,71,34,,,,,
,K2O,310,37,37,2,43,50,34,103,42,,,,,
,N+P+K,1922,185,185,12,835,131,195,359,203,,,,,
Turkey,N,1344,134,134,44,851,74,94,55,91,,,,,
,P2O5,515,41,41,14,324,28,31,30,49,,,,,
,K2O,84,17,17,2,30,4,13,12,6,,,,,
,N+P+K,1943,192,192,60,1205,105,138,95,146,,,,,
Ukraine,N,650,2,2,0,446,124,3,52,23,,,,,
,P2O5,170,1,1,0,87,54,2,20,6,,,,,
,K2O,110,1,1,0,52,32,2,22,1,,,,,
,N+P+K,930,4,4,0,586,210,7,95,30,,,,,
USA,N,11645,93,93,559,7803,186,140,187,2678,,,,,
,P2O5,3915,27,27,192,2655,380,74,122,466,,,,,
,K2O,4165,96,96,242,2182,683,71,100,791,,,,,
,N+P+K,19725,216,216,992,12640,1249,285,409,3936,,,,,
Uzbekistan,N,523,32,32,220,164,6,32,6,63,,,,,
,P2O5,116,7,7,42,40,1,8,3,15,,,,,
,K2O,11,0,0,6,3,0,1,0,1,,,,,
,N+P+K,650,39,39,277,208,7,41,9,78,,,,,
Vietnam,N,1250,48,48,3,900,28,113,75,85,,,,,
,P2O5,650,26,26,1,465,30,52,23,55,,,,,
,K2O,400,18,18,0,266,18,40,38,20,,,,,
,N+P+K,2300,92,92,4,1631,76,205,136,159,,,,,
Total,N,104252,6098,6098,4471,57507,7631,9518,6561,12466,,,,,
,P2O5,40522,2159,2159,1735,19672,5952,3824,2727,4454,,,,,
,K2O,27435,1804,1804,779,10274,5437,2754,3160,3228,,,,,
,N+P+K,172209,10061,10061,6985,87452,19018,16096,12448,20147,,,,,
