food,category,country,region,year,imports,exports,production,yield
Food,Category,Country,Region,Market Year,Imports (Metric Ton),Exports (Metric Ton),Production (Metric Ton),Yield (MT/km2)
Grapefruit,CITRUS,Canada,ARCTIC_AMERICA,2001,57000,0,0,0
Grapefruit,CITRUS,Canada,ARCTIC_AMERICA,2002,52000,0,0,0
Grapefruit,CITRUS,Canada,ARCTIC_AMERICA,2003,50000,0,0,0
Grapefruit,CITRUS,Canada,ARCTIC_AMERICA,2004,46000,0,0,0
Grapefruit,CITRUS,Canada,ARCTIC_AMERICA,2005,46000,0,0,0
Grapefruit,CITRUS,Canada,ARCTIC_AMERICA,2006,55000,0,0,0
Grapefruit,CITRUS,Canada,ARCTIC_AMERICA,2007,51000,0,0,0
Grapefruit,CITRUS,Canada,ARCTIC_AMERICA,2008,48000,0,0,0
Grapefruit,CITRUS,Canada,ARCTIC_AMERICA,2009,46000,0,0,0
Grapefruit,CITRUS,China,EAST_ASIA,2001,4000,6000,1500000,619
Grapefruit,CITRUS,China,EAST_ASIA,2002,3000,13000,1526000,675
Grapefruit,CITRUS,China,EAST_ASIA,2003,4000,15000,1642000,673
Grapefruit,CITRUS,China,EAST_ASIA,2004,2000,11000,1800000,724
Grapefruit,CITRUS,China,EAST_ASIA,2005,4000,27000,1867000,741
Grapefruit,CITRUS,China,EAST_ASIA,2006,3000,51000,2025000,4283
Grapefruit,CITRUS,China,EAST_ASIA,2007,3000,101000,2230000,4283
Grapefruit,CITRUS,China,EAST_ASIA,2008,6000,102000,2520000,4577
Grapefruit,CITRUS,China,EAST_ASIA,2009,7000,119000,2900000,4696
Grapefruit,CITRUS,Hong Kong,EAST_ASIA,2001,19000,2000,0,0
Grapefruit,CITRUS,Hong Kong,EAST_ASIA,2002,17000,4000,0,0
Grapefruit,CITRUS,Hong Kong,EAST_ASIA,2003,12000,1000,0,0
Grapefruit,CITRUS,Hong Kong,EAST_ASIA,2004,9000,1000,0,0
Grapefruit,CITRUS,Hong Kong,EAST_ASIA,2005,14000,3000,0,0
Grapefruit,CITRUS,Hong Kong,EAST_ASIA,2006,13000,2000,0,0
Grapefruit,CITRUS,Hong Kong,EAST_ASIA,2007,12000,2000,0,0
Grapefruit,CITRUS,Hong Kong,EAST_ASIA,2008,16000,4000,0,0
Grapefruit,CITRUS,Hong Kong,EAST_ASIA,2009,18000,4000,0,0
Grapefruit,CITRUS,Japan,EAST_ASIA,2000,274000,0,0,0
Grapefruit,CITRUS,Japan,EAST_ASIA,2001,277000,0,0,0
Grapefruit,CITRUS,Japan,EAST_ASIA,2002,272000,0,0,0
Grapefruit,CITRUS,Japan,EAST_ASIA,2003,304000,0,0,0
Grapefruit,CITRUS,Japan,EAST_ASIA,2004,219000,0,0,0
Grapefruit,CITRUS,Japan,EAST_ASIA,2005,153000,0,0,0
Grapefruit,CITRUS,Japan,EAST_ASIA,2006,221000,0,0,0
Grapefruit,CITRUS,Japan,EAST_ASIA,2007,188000,0,0,0
Grapefruit,CITRUS,Japan,EAST_ASIA,2008,180000,0,0,0
Grapefruit,CITRUS,Japan,EAST_ASIA,2009,168000,0,0,0
Grapefruit,CITRUS,EU-27,EUROPE,2001,484000,9000,79000,0
Grapefruit,CITRUS,EU-27,EUROPE,2002,368000,9000,77000,0
