food,category,country,region,year,imports,exports,production,consumption,yield,,,,,,,
Food,Category,Country,Region,Market Year,Imports (Metric Ton),Exports (Metric Ton),Domestic Production (Metric Ton),Domestic Consumption (Metric Ton),Yield (MT/HA),,,,,,,
Barley,,EU-27,,2000,370000,7162000,60061000,55942000,4,,,,,,,
Barley,,EU-27,,2001,1351000,4151000,58928000,55146000,4,,,,,,,
Barley,,EU-27,,2002,1096000,5214000,58339000,55574000,4,,,,,,,
Barley,,EU-27,,2003,679000,2607000,55923000,58167000,4,,,,,,,
Barley,,EU-27,,2004,297000,3207000,64265000,54790000,5,,,,,,,
Barley,,EU-27,,2005,81000,3257000,54902000,54266000,4,,,,,,,
Barley,,EU-27,,2006,245000,3394000,56430000,55943000,4,,,,,,,
Barley,,EU-27,,2007,337000,3760000,57765000,54450000,4,,,,,,,
Barley,,EU-27,,2008,301000,3569000,65759000,57270000,5,,,,,,,
Barley,,EU-27,,2009,101000,1123000,62393000,56770000,4,,,,,,,
Barley,,EU-27,,2010,178000,4873000,53691000,56610000,4,,,,,,,
Barley,,EU-27,,2011,456000,3008000,51883000,51200000,4,,,,,,,
Barley,,EU-27,,2012,66000,4939000,54875000,51000000,4,,,,,,,
Barley,,EU-27,,2013,44000,5741000,59674000,53400000,5,,,,,,,
Barley,,EU-27,,2014,88000,9547000,60460000,51000000,5,,,,,,,
Barley,,EU-27,,2015,250000,8600000,60962000,53100000,5,,,,,,,
Barley,,Afghanistan,,2000,4000,0,74000,80000,1,,,,,,,
Barley,,Afghanistan,,2001,3000,0,87000,95000,1,,,,,,,
Barley,,Afghanistan,,2002,3000,0,345000,330000,1,,,,,,,
Barley,,Afghanistan,,2003,0,0,240000,255000,1,,,,,,,
Barley,,Afghanistan,,2004,1000,0,290000,290000,1,,,,,,,
Barley,,Afghanistan,,2005,0,0,337000,335000,1,,,,,,,
Barley,,Afghanistan,,2006,9000,0,364000,375000,2,,,,,,,
Barley,,Afghanistan,,2007,0,0,370000,375000,2,,,,,,,
Barley,,Afghanistan,,2008,29000,0,100000,130000,1,,,,,,,
Barley,,Afghanistan,,2009,16000,0,333000,350000,1,,,,,,,
Barley,,Afghanistan,,2010,4000,0,333000,330000,1,,,,,,,
Barley,,Afghanistan,,2011,29000,0,300000,330000,1,,,,,,,
Barley,,Afghanistan,,2012,0,0,225000,225000,1,,,,,,,
Barley,,Afghanistan,,2013,0,0,400000,400000,1,,,,,,,
Barley,,Afghanistan,,2014,10000,0,400000,400000,1,,,,,,,
Barley,,Afghanistan,,2015,0,0,400000,400000,1,,,,,,,
Barley,,Albania,,2000,,,,,,,,0,(1000 MT),NA,,
Barley,,Albania,,2001,,,,,,,,0,(1000 MT),NA,,
Barley,,Albania,,2002,,,,,,,,0,(1000 MT),NA,,
Barley,,Albania,,2003,,,,,,,,0,(1000 MT),NA,,
Barley,,Albania,,2004,,,,,,,,0,(1000 MT),NA,,
Barley,,Albania,,2005,,,,,,,,0,(1000 MT),NA,,
Barley,,Albania,,2006,,,,,,,,0,(1000 MT),NA,,
Barley,,Albania,,2007,,,,,,,,0,(1000 MT),NA,,
Barley,,Albania,,2008,,,,,,,,0,(1000 MT),NA,,
Barley,,Albania,,2009,,,,,,,,2,(1000 MT),NA,,
Barley,,Albania,,2010,,,,,,,,2,(1000 MT),0.00%,,
Barley,,Albania,,2011,,,,,,,,2,(1000 MT),0.00%,,
Barley,,Albania,,2012,,,,,,,,1,(1000 MT),-50.00%,,
Barley,,Albania,,2013,,,,,,,,1,(1000 MT),0.00%,,
Barley,,Albania,,2014,,,,,,,,2,(1000 MT),100.00%,,
Barley,,Albania,,2015,,,,,,,,0,(1000 MT),-100.00%,,
