food,category,country,region,year,imports,exports,production,consumption,yield
Food,Category,Country,Region,Market Year,Imports (Metric Ton),Exports (Metric Ton),Production (Metric Ton),Domestic Consumption (Metric Ton),Yield (MT/HA)
Raisins,FRUIT,Afghanistan,SOUTH_ASIA,1981,85000,84000,6000,7000,2
Barley,GRAIN,Afghanistan,SOUTH_ASIA,1981,330000,0,0,330000,2
Corn,GRAIN,Afghanistan,SOUTH_ASIA,1981,798000,0,0,798000,2
Rice,GRAIN,Afghanistan,SOUTH_ASIA,1981,309000,0,18000,327000,2
Wheat,GRAIN,Afghanistan,SOUTH_ASIA,1981,2850000,0,350000,3200000,2
Sugar (Beet & Cane),SPECIAL,Afghanistan,SOUTH_ASIA,1981,10000,0,66000,76000,2
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2000,4000,0,74000,80000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2001,3000,0,87000,95000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2002,3000,0,345000,330000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2003,0,0,240000,255000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2004,1000,0,290000,290000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2005,0,0,337000,335000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2006,9000,0,364000,375000,2
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2007,0,0,370000,375000,2
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2008,29000,0,100000,130000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2009,16000,0,333000,350000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2010,4000,0,333000,330000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2011,29000,0,300000,330000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2012,0,0,225000,225000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2013,0,0,400000,400000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2014,10000,0,400000,400000,1
Barley,GRAIN,Afghanistan,SOUTH_ASIA,2015,0,0,400000,400000,1
Barley,GRAIN,Albania,EUROPE,1981,25000,0,0,25000,2
Corn,GRAIN,Albania,EUROPE,1981,311000,0,0,311000,2
Oats,GRAIN,Albania,EUROPE,1981,30000,0,0,30000,2
Rye,GRAIN,Albania,EUROPE,1981,6000,0,0,6000,2
Wheat,GRAIN,Albania,EUROPE,1981,489000,0,0,489000,2
Cottonseed Meal,OIL,Albania,EUROPE,1981,6000,0,0,6000,2
Cottonseed Oil,OIL,Albania,EUROPE,1981,2000,0,0,2000,2
Chicken,POULTRY,Albania,EUROPE,1981,11000,0,0,11000,2
Sugar (Beet & Cane),SPECIAL,Albania,EUROPE,1981,25000,0,26000,51000,2
