food,category,country,region,year,imports,exports,production,consumption,yield,price
Food,Category,Country,Region,Market Year,Imports (Metric Ton),Exports (Metric Ton),Domestic Production (Metric Ton),Domestic Consumption (Metric Ton),Yield (MT/HA),"U.S. import price (12 month average, US dollars per MT)"
Grapefruit,CITRUS,Canada,ARCTIC_AMERICA,2014,293000,0,0,,,
Grapefruit,CITRUS,China,EAST_ASIA,2014,28000,164000,8038000,,,
Grapefruit,CITRUS,Hong Kong,EAST_ASIA,2014,86000,18000,0,,,
Grapefruit,CITRUS,Japan,EAST_ASIA,2014,134000,0,0,,,
Grapefruit,CITRUS,European Union,EUROPE,2014,2252000,69000,527000,,,
Grapefruit,CITRUS,Italy,EUROPE,2014,0,0,0,,,
Grapefruit,CITRUS,Switzerland,EUROPE,2014,51000,0,0,,,
Grapefruit,CITRUS,Ukraine,EUROPE,2014,54000,0,0,,,
Grapefruit,CITRUS,Cuba,MIDDLE_AMERICA,2014,0,0,0,,,
Grapefruit,CITRUS,Mexico,MIDDLE_AMERICA,2014,8000,19000,415000,,,
Grapefruit,CITRUS,Cyprus,MIDDLE_EAST,2014,0,0,0,,,
Grapefruit,CITRUS,Israel,MIDDLE_EAST,2014,0,79000,208000,,,
Grapefruit,CITRUS,Russia,RUSSIA,2014,345000,0,0,,,
Grapefruit,CITRUS,South Africa,SUB_SAHARAN,2014,0,174000,305000,,,
Lemons & Limes,CITRUS,Canada,ARCTIC_AMERICA,2014,269000,0,0,,,
Lemons & Limes,CITRUS,Hong Kong,EAST_ASIA,2014,154000,31000,0,,,
Lemons & Limes,CITRUS,Japan,EAST_ASIA,2014,55000,0,8000,,,
Lemons & Limes,CITRUS,Croatia,EUROPE,2014,0,0,0,,,
Lemons & Limes,CITRUS,European Union,EUROPE,2014,2320000,587000,9441000,,,
Lemons & Limes,CITRUS,Greece,EUROPE,2014,0,0,0,,,
Lemons & Limes,CITRUS,Italy,EUROPE,2014,0,0,0,,,
Lemons & Limes,CITRUS,Serbia,EUROPE,2014,0,0,0,,,
Lemons & Limes,CITRUS,Spain,EUROPE,2014,0,0,0,,,
Lemons & Limes,CITRUS,Switzerland,EUROPE,2014,0,0,0,,,
Lemons & Limes,CITRUS,Ukraine,EUROPE,2014,277000,0,0,,,
Lemons & Limes,CITRUS,United Kingdom,EUROPE,2014,0,0,0,,,
Lemons & Limes,CITRUS,Mexico,MIDDLE_AMERICA,2014,7000,2337000,11144000,,,
Lemons & Limes,CITRUS,Cyprus,MIDDLE_EAST,2014,0,0,0,,,
Lemons & Limes,CITRUS,Israel,MIDDLE_EAST,2014,0,1000,51000,,,
Lemons & Limes,CITRUS,Saudi Arabia,MIDDLE_EAST,2014,311000,0,0,,,
Lemons & Limes,CITRUS,Turkey,MIDDLE_EAST,2014,2000,369000,680000,,,
Lemons & Limes,CITRUS,United Arab Emirates,MIDDLE_EAST,2014,275000,0,0,,,
Lemons & Limes,CITRUS,Russia,RUSSIA,2014,1060000,16000,0,,,
Lemons & Limes,CITRUS,Argentina,SOUTH_AMERICA,2014,1000,280000,1350000,,,
Lemons & Limes,CITRUS,South Africa,SUB_SAHARAN,2014,0,165000,260000,,,
Oranges,CITRUS,Canada,ARCTIC_AMERICA,2014,1280000,0,0,,,
Oranges,CITRUS,China,EAST_ASIA,2014,88000,83000,7000000,,,
Oranges,CITRUS,Hong Kong,EAST_ASIA,2014,1143000,287000,0,,,
Oranges,CITRUS,Japan,EAST_ASIA,2014,240000,0,12000,,,
Oranges,CITRUS,South Korea,EAST_ASIA,2014,152000,0,0,,,
Oranges,CITRUS,Croatia,EUROPE,2014,0,0,0,,,
Oranges,CITRUS,European Union,EUROPE,2014,5098000,1347000,36925000,,,
Oranges,CITRUS,Greece,EUROPE,2014,0,0,0,,,
Oranges,CITRUS,Italy,EUROPE,2014,0,0,0,,,
Oranges,CITRUS,Norway,EUROPE,2014,176000,0,0,,,
Oranges,CITRUS,Serbia,EUROPE,2014,0,0,0,,,
Oranges,CITRUS,Spain,EUROPE,2014,0,0,0,,,
Oranges,CITRUS,Switzerland,EUROPE,2014,307000,0,0,,,
Oranges,CITRUS,Ukraine,EUROPE,2014,514000,0,0,,,
Oranges,CITRUS,Costa Rica,MIDDLE_AMERICA,2014,283000,21000,3075000,,,
Oranges,CITRUS,Cuba,MIDDLE_AMERICA,2014,0,0,0,,,
Oranges,CITRUS,Guatemala,MIDDLE_AMERICA,2014,189000,0,695000,,,
Oranges,CITRUS,Mexico,MIDDLE_AMERICA,2014,35000,19000,3666000,,,
Oranges,CITRUS,Cyprus,MIDDLE_EAST,2014,0,0,0,,,
Oranges,CITRUS,Iran,MIDDLE_EAST,2014,0,0,0,,,
Oranges,CITRUS,Iraq,MIDDLE_EAST,2014,707000,0,1660000,,,
Oranges,CITRUS,Morocco,MIDDLE_EAST,2014,0,82000,784000,,,
Oranges,CITRUS,Saudi Arabia,MIDDLE_EAST,2014,1377000,1000,0,,,
Oranges,CITRUS,Turkey,MIDDLE_EAST,2014,29000,244000,1600000,,,
Oranges,CITRUS,United Arab Emirates,MIDDLE_EAST,2014,1011000,0,0,,,
Oranges,CITRUS,Russia,RUSSIA,2014,2011000,31000,0,,,
Oranges,CITRUS,Argentina,SOUTH_AMERICA,2014,0,162000,1115000,,,
Oranges,CITRUS,Brazil,SOUTH_AMERICA,2014,28000,40000,36843000,,,
Oranges,CITRUS,Malaysia,SOUTHEAST_ASIA,2014,477000,2000,207000,,,
Oranges,CITRUS,Singapore,SOUTHEAST_ASIA,2014,202000,24000,0,,,
Oranges,CITRUS,Vietnam,SOUTHEAST_ASIA,2014,175000,0,4632000,,,
Oranges,CITRUS,Mozambique,SUB_SAHARAN,2014,337000,0,208000,,,
Oranges,CITRUS,South Africa,SUB_SAHARAN,2014,0,1088000,1466000,,,
Tangerines & Mandarins,CITRUS,Canada,ARCTIC_AMERICA,2014,505000,0,0,,,
Tangerines & Mandarins,CITRUS,China,EAST_ASIA,2014,12000,702000,17000000,,,
Tangerines & Mandarins,CITRUS,Japan,EAST_ASIA,2014,37000,5000,1847000,,,
Tangerines & Mandarins,CITRUS,South Korea,EAST_ASIA,2014,0,7000,1253000,,,
Tangerines & Mandarins,CITRUS,European Union,EUROPE,2014,2120000,1333000,18286000,,,
Tangerines & Mandarins,CITRUS,Greece,EUROPE,2014,0,0,0,,,
Tangerines & Mandarins,CITRUS,Italy,EUROPE,2014,0,0,0,,,
Tangerines & Mandarins,CITRUS,Norway,EUROPE,2014,0,0,0,,,
Tangerines & Mandarins,CITRUS,Serbia,EUROPE,2014,0,0,0,,,
