Latitude, Longitude
-55.875,-67.625
-55.625,-68.125
-55.625,-67.375
-55.375,-69.375
-55.375,-68.875
-55.375,-68.625
-55.375,-68.375
-55.125,-70.375
-55.125,-69.875
-55.125,-69.625
-55.125,-69.375
-55.125,-69.125
-55.125,-68.875
-55.125,-68.625
-55.125,-68.125
-55.125,-67.875
-55.125,-67.625
-55.125,-67.375
-55.125,-67.125
-54.875,-71.375
-54.875,-71.125
-54.875,-69.125
-54.875,-68.875
-54.875,-67.625
-54.875,-67.375
-54.875,-67.125
-54.875,-66.875
-54.875,-66.625
-54.875,-66.375
-54.875,-66.125
-54.875,-65.875
-54.875,-65.625
-54.875,-65.375
-54.875,-64.625
-54.625,158.875
-54.625,-71.375
-54.625,-71.125
-54.625,-70.875
-54.625,-70.625
-54.625,-70.375
-54.625,-70.125
-54.625,-69.875
-54.625,-69.625
-54.625,-69.375
-54.625,-69.125
-54.625,-68.875
-54.625,-68.625
-54.625,-68.375
-54.625,-68.125
-54.625,-67.875
-54.625,-67.625
-54.625,-67.375
-54.625,-67.125
-54.625,-66.875
-54.625,-66.625
-54.625,-66.375
-54.625,-66.125
-54.375,-70.875
-54.375,-70.375
-54.375,-69.875
-54.375,-69.625
-54.375,-69.125
-54.375,-68.875
-54.375,-68.625
-54.375,-68.375
-54.375,-68.125
-54.375,-67.875
-54.375,-67.625
-54.375,-67.375
-54.375,-67.125
-54.375,-66.875
-54.375,-66.625
-54.125,-72.875
-54.125,-71.875
-54.125,-71.625
-54.125,-71.375
-54.125,-71.125
-54.125,-70.625
-54.125,-69.875
-54.125,-69.625
-54.125,-69.375
-54.125,-69.125
-54.125,-68.875
-54.125,-68.625
-54.125,-68.375
-54.125,-68.125
-54.125,-67.875
-54.125,-67.625
-54.125,-67.375
-54.125,-67.125
-53.875,-73.125
-53.875,-72.625
-53.875,-72.375
-53.875,-70.625
-53.875,-70.125
-53.875,-69.875
-53.875,-69.625
-53.875,-69.375
-53.875,-69.125
-53.875,-68.875
-53.875,-68.625
-53.875,-68.375
-53.875,-68.125
-53.875,-67.875
-53.875,-67.625
-53.625,-73.375
-53.625,-73.125
-53.625,-72.875
-53.625,-72.625
-53.625,-72.125
-53.625,-71.875
-53.625,-71.625
-53.625,-71.375
-53.625,-71.125
-53.625,-69.625
-53.625,-69.375
-53.625,-69.125
-53.625,-68.875
-53.625,-68.625
-53.625,-68.375
-53.625,-68.125
-53.375,-72.625
-53.375,-72.375
-53.375,-72.125
-53.375,-71.875
-53.375,-71.625
-53.375,-71.375
-53.375,-71.125
-53.375,-70.125
-53.375,-69.375
-53.375,-69.125
-53.375,-68.875
-53.375,-68.625
-53.375,-68.375
-53.375,-68.125
-53.125,-73.625
-53.125,-72.875
-53.125,-72.625
-53.125,-72.375
-53.125,-71.375
-53.125,-71.125
-53.125,-70.375
-53.125,-70.125
-53.125,-69.875
-53.125,-69.625
-53.125,-69.375
-53.125,-69.125
-53.125,-68.875
-53.125,-68.625
-52.875,-73.375
-52.875,-73.125
-52.875,-72.875
-52.875,-72.625
-52.875,-72.375
-52.875,-72.125
-52.875,-71.875
-52.875,-71.125
-52.875,-70.875
-52.875,-70.125
-52.875,-69.875
-52.875,-69.625
-52.875,-69.375
-52.875,-69.125
-52.875,-68.875
-52.875,-68.625
-52.875,-68.375
-52.625,-73.875
-52.625,-73.625
-52.625,-73.125
-52.625,-72.875
-52.625,-71.375
-52.625,-71.125
-52.625,-70.875
-52.625,-70.625
-52.625,-70.375
-52.625,-69.625
-52.625,-69.375
-52.625,-68.875
-52.375,-74.125
-52.375,-73.875
-52.375,-73.625
-52.375,-73.375
-52.375,-73.125
-52.375,-72.875
-52.375,-72.625
-52.375,-72.375
-52.375,-72.125
-52.375,-71.875
-52.375,-71.625
-52.375,-71.375
-52.375,-71.125
-52.375,-70.875
-52.375,-70.625
-52.375,-70.375
-52.375,-70.125
-52.375,-69.875
-52.375,-69.625
-52.125,-74.875
-52.125,-73.625
-52.125,-73.125
-52.125,-72.875
-52.125,-72.625
-52.125,-72.375
-52.125,-72.125
-52.125,-71.875
-52.125,-71.625
-52.125,-71.375
-52.125,-71.125
-52.125,-70.875
-52.125,-70.625
-52.125,-70.375
-52.125,-70.125
-52.125,-69.875
-52.125,-69.625
-52.125,-69.375
-52.125,-69.125
-52.125,-68.875
-52.125,-68.625
-51.875,-74.875
-51.875,-74.375
-51.875,-73.625
-51.875,-73.375
-51.875,-73.125
-51.875,-72.375
-51.875,-72.125
-51.875,-71.875
-51.875,-71.625
-51.875,-71.375
-51.875,-71.125
-51.875,-70.875
-51.875,-70.625
-51.875,-70.375
-51.875,-70.125
-51.875,-69.875
-51.875,-69.625
-51.875,-69.375
-51.875,-69.125
-51.875,-68.875
-51.625,-74.125
-51.625,-73.875
-51.625,-73.625
-51.625,-73.375
-51.625,-73.125
-51.625,-72.875
-51.625,-72.625
-51.625,-72.375
-51.625,-72.125
-51.625,-71.875
-51.625,-71.625
-51.625,-71.375
-51.625,-71.125
-51.625,-70.875
-51.625,-70.625
-51.625,-70.375
-51.625,-70.125
-51.625,-69.875
-51.625,-69.625
-51.625,-69.375
-51.375,-75.125
-51.375,-74.875
-51.375,-74.625
-51.375,-73.875
-51.375,-73.625
-51.375,-73.375
-51.375,-73.125
-51.375,-72.875
-51.375,-72.625
-51.375,-72.375
-51.375,-72.125
-51.375,-71.875
-51.375,-71.625
-51.375,-71.375
-51.375,-71.125
-51.375,-70.875
-51.375,-70.625
-51.375,-70.375
-51.375,-70.125
-51.375,-69.875
-51.375,-69.625
-51.375,-69.375
-51.375,-69.125
-51.125,-74.375
-51.125,-74.125
-51.125,-73.875
-51.125,-73.625
-51.125,-73.375
-51.125,-73.125
-51.125,-72.875
-51.125,-72.625
-51.125,-72.375
-51.125,-72.125
-51.125,-71.875
-51.125,-71.625
-51.125,-71.375
-51.125,-71.125
-51.125,-70.875
-51.125,-70.625
-51.125,-70.375
-51.125,-70.125
-51.125,-69.875
-51.125,-69.625
-51.125,-69.375
-50.875,-74.875
-50.875,-74.625
-50.875,-74.375
-50.875,-74.125
-50.875,-73.625
-50.875,-73.375
-50.875,-73.125
-50.875,-72.875
-50.875,-72.625
-50.875,-72.375
-50.875,-72.125
-50.875,-71.875
-50.875,-71.625
-50.875,-71.375
-50.875,-71.125
-50.875,-70.875
-50.875,-70.625
-50.875,-70.375
-50.875,-70.125
-50.875,-69.875
-50.875,-69.625
-50.875,-69.375
-50.625,166.125
-50.625,-75.375
-50.625,-74.625
-50.625,-74.375
-50.625,-74.125
-50.625,-73.875
-50.625,-73.375
-50.625,-73.125
-50.625,-72.875
-50.625,-72.625
-50.625,-72.375
-50.625,-72.125
-50.625,-71.875
-50.625,-71.625
-50.625,-71.375
-50.625,-71.125
-50.625,-70.875
-50.625,-70.625
-50.625,-70.375
-50.625,-70.125
-50.625,-69.875
-50.625,-69.625
-50.625,-69.375
-50.625,-69.125
-50.375,-74.625
-50.375,-74.125
-50.375,-73.875
-50.375,-73.625
-50.375,-73.375
-50.375,-73.125
-50.375,-72.875
-50.375,-72.625
-50.375,-72.375
-50.375,-72.125
-50.375,-71.875
-50.375,-71.625
-50.375,-71.375
-50.375,-71.125
-50.375,-70.875
-50.375,-70.625
-50.375,-70.375
-50.375,-70.125
-50.375,-69.875
-50.375,-69.625
-50.375,-69.375
-50.375,-69.125
-50.125,-75.125
-50.125,-74.875
-50.125,-74.375
-50.125,-74.125
-50.125,-73.875
-50.125,-73.625
-50.125,-73.375
-50.125,-73.125
-50.125,-72.875
-50.125,-72.625
-50.125,-72.375
-50.125,-72.125
-50.125,-71.875
-50.125,-71.625
-50.125,-71.375
-50.125,-71.125
-50.125,-70.875
-50.125,-70.625
-50.125,-70.375
-50.125,-70.125
-50.125,-69.875
-50.125,-69.625
-50.125,-69.375
-50.125,-69.125
-50.125,-68.875
-50.125,-68.625
-49.875,-74.625
-49.875,-74.125
-49.875,-73.875
-49.875,-73.625
-49.875,-73.375
-49.875,-73.125
-49.875,-72.875
-49.875,-72.625
-49.875,-72.375
-49.875,-72.125
-49.875,-71.875
-49.875,-71.625
-49.875,-71.375
-49.875,-71.125
-49.875,-70.875
-49.875,-70.625
-49.875,-70.375
-49.875,-70.125
-49.875,-69.875
-49.875,-69.625
-49.875,-69.375
-49.875,-69.125
-49.875,-68.875
-49.875,-68.375
-49.875,-68.125
-49.875,-67.875
-49.625,-75.125
-49.625,-74.625
-49.625,-74.125
-49.625,-73.875
-49.625,-73.625
-49.625,-73.375
-49.625,-73.125
-49.625,-72.875
-49.625,-72.625
-49.625,-72.375
-49.625,-72.125
-49.625,-71.875
-49.625,-71.625
-49.625,-71.375
-49.625,-71.125
-49.625,-70.875
-49.625,-70.625
-49.625,-70.375
-49.625,-70.125
-49.625,-69.875
-49.625,-69.625
-49.625,-69.375
-49.625,-69.125
-49.625,-68.875
-49.625,-68.625
-49.625,-68.375
-49.625,-68.125
-49.625,-67.875
-49.375,-75.375
-49.375,-75.125
-49.375,-74.875
-49.375,-74.625
-49.375,-73.875
-49.375,-73.625
-49.375,-73.375
-49.375,-73.125
-49.375,-72.875
-49.375,-72.625
-49.375,-72.375
-49.375,-72.125
-49.375,-71.875
-49.375,-71.625
-49.375,-71.375
-49.375,-71.125
-49.375,-70.875
-49.375,-70.625
-49.375,-70.375
-49.375,-70.125
-49.375,-69.875
-49.375,-69.625
-49.375,-69.375
-49.375,-69.125
-49.375,-68.875
-49.375,-68.625
-49.375,-68.375
-49.375,-68.125
-49.375,-67.875
-49.125,-75.375
-49.125,-75.125
-49.125,-74.875
-49.125,-74.625
-49.125,-74.125
-49.125,-73.875
-49.125,-73.625
-49.125,-73.375
-49.125,-73.125
-49.125,-72.875
-49.125,-72.625
-49.125,-72.375
-49.125,-72.125
-49.125,-71.875
-49.125,-71.625
-49.125,-71.375
-49.125,-71.125
-49.125,-70.875
-49.125,-70.625
-49.125,-70.375
-49.125,-70.125
-49.125,-69.875
-49.125,-69.625
-49.125,-69.375
-49.125,-69.125
-49.125,-68.875
-49.125,-68.625
-49.125,-68.375
-49.125,-68.125
-49.125,-67.875
-49.125,-67.625
-48.875,-75.375
-48.875,-75.125
-48.875,-74.875
-48.875,-74.625
-48.875,-74.375
-48.875,-74.125
-48.875,-73.875
-48.875,-73.625
-48.875,-73.375
-48.875,-73.125
-48.875,-72.875
-48.875,-72.625
-48.875,-72.375
-48.875,-72.125
-48.875,-71.875
-48.875,-71.625
-48.875,-71.375
-48.875,-71.125
-48.875,-70.875
-48.875,-70.625
-48.875,-70.375
-48.875,-70.125
-48.875,-69.875
-48.875,-69.625
-48.875,-69.375
-48.875,-69.125
-48.875,-68.875
-48.875,-68.625
-48.875,-68.375
-48.875,-68.125
-48.875,-67.875
-48.875,-67.625
-48.875,-67.375
-48.625,-75.625
-48.625,-75.375
-48.625,-74.125
-48.625,-73.875
-48.625,-73.625
-48.625,-73.375
-48.625,-73.125
-48.625,-72.875
-48.625,-72.625
-48.625,-72.375
-48.625,-72.125
-48.625,-71.875
-48.625,-71.625
-48.625,-71.375
-48.625,-71.125
-48.625,-70.875
-48.625,-70.625
-48.625,-70.375
-48.625,-70.125
-48.625,-69.875
-48.625,-69.625
-48.625,-69.375
-48.625,-69.125
-48.625,-68.875
-48.625,-68.625
-48.625,-68.375
-48.625,-68.125
-48.625,-67.875
-48.625,-67.625
-48.625,-67.375
-48.625,-67.125
-48.375,-75.375
-48.375,-74.875
-48.375,-74.625
-48.375,-74.375
-48.375,-74.125
-48.375,-73.875
-48.375,-73.625
-48.375,-73.375
-48.375,-73.125
-48.375,-72.875
-48.375,-72.625
-48.375,-72.375
-48.375,-72.125
-48.375,-71.875
-48.375,-71.625
-48.375,-71.375
-48.375,-71.125
-48.375,-70.875
-48.375,-70.625
-48.375,-70.375
-48.375,-70.125
-48.375,-69.875
-48.375,-69.625
-48.375,-69.375
-48.375,-69.125
-48.375,-68.875
-48.375,-68.625
-48.375,-68.375
-48.375,-68.125
-48.375,-67.875
-48.375,-67.625
-48.375,-67.375
-48.375,-67.125
-48.375,-66.875
-48.375,-66.625
-48.125,-75.375
-48.125,-75.125
-48.125,-74.875
-48.125,-74.375
-48.125,-74.125
-48.125,-73.875
-48.125,-73.375
-48.125,-73.125
-48.125,-72.875
-48.125,-72.625
-48.125,-72.375
-48.125,-72.125
-48.125,-71.875
-48.125,-71.625
-48.125,-71.375
-48.125,-71.125
-48.125,-70.875
-48.125,-70.625
-48.125,-70.375
-48.125,-70.125
-48.125,-69.875
-48.125,-69.625
-48.125,-69.375
-48.125,-69.125
-48.125,-68.875
-48.125,-68.625
-48.125,-68.375
-48.125,-68.125
-48.125,-67.875
-48.125,-67.625
-48.125,-67.375
-48.125,-67.125
-48.125,-66.875
-48.125,-66.625
-48.125,-66.375
-48.125,-66.125
-47.875,-74.875
-47.875,-74.375
-47.875,-74.125
-47.875,-73.875
-47.875,-73.625
-47.875,-73.375
-47.875,-73.125
-47.875,-72.875
-47.875,-72.625
-47.875,-72.375
-47.875,-72.125
-47.875,-71.875
-47.875,-71.625
-47.875,-71.375
-47.875,-71.125
-47.875,-70.875
-47.875,-70.625
-47.875,-70.375
-47.875,-70.125
-47.875,-69.875
-47.875,-69.625
-47.875,-69.375
-47.875,-69.125
-47.875,-68.875
-47.875,-68.625
-47.875,-68.375
-47.875,-68.125
-47.875,-67.875
-47.875,-67.625
-47.875,-67.375
-47.875,-67.125
-47.875,-66.875
-47.875,-66.625
-47.875,-66.375
-47.875,-66.125
-47.875,-65.875
-47.625,-74.375
-47.625,-74.125
-47.625,-73.875
-47.625,-73.625
-47.625,-73.375
-47.625,-73.125
-47.625,-72.875
-47.625,-72.625
-47.625,-72.375
-47.625,-72.125
-47.625,-71.875
-47.625,-71.625
-47.625,-71.375
-47.625,-71.125
-47.625,-70.875
-47.625,-70.625
-47.625,-70.375
-47.625,-70.125
-47.625,-69.875
-47.625,-69.625
-47.625,-69.375
-47.625,-69.125
-47.625,-68.875
-47.625,-68.625
-47.625,-68.375
-47.625,-68.125
-47.625,-67.875
-47.625,-67.625
-47.625,-67.375
-47.625,-67.125
-47.625,-66.875
-47.625,-66.625
-47.625,-66.375
-47.625,-66.125
-47.625,-65.875
-47.375,-74.375
-47.375,-74.125
-47.375,-73.875
-47.375,-73.625
-47.375,-73.375
-47.375,-73.125
-47.375,-72.875
-47.375,-72.625
-47.375,-72.375
-47.375,-72.125
-47.375,-71.875
-47.375,-71.625
-47.375,-71.375
-47.375,-71.125
-47.375,-70.875
-47.375,-70.625
-47.375,-70.375
-47.375,-70.125
